predictor,raw_fi,fi,season,window,window_c,pred_cat
rain_7d,3047.632788298819,0.02679716613672647,Spring/Summer,4,S4,Climate
air_temp,3015.6901593132784,0.026516301611624958,Spring/Summer,4,S4,Climate
atemp_1d,9227.482347067655,0.08113522679879959,Spring/Summer,4,S4,Climate
d_temp,2774.2118519634214,0.024393035860805393,Spring/Summer,4,S4,Climate
d_sal,10746.130563129334,0.0944883672116786,Spring/Summer,4,S4,Climate
d_do,1555.8962097274116,0.013680653845059112,Spring/Summer,4,S4,Climate
fp_sal,9003.091081274348,0.10512251032277967,Spring/Summer,5,S5,FP
fp_depth_1d,7413.085202534448,0.08655717449620301,Spring/Summer,5,S5,FP
fp_depth_7d,4248.773848825556,0.04960982497570165,Spring/Summer,5,S5,FP
creek_depth,12219.897528969104,0.1426828066645014,Spring/Summer,5,S5,Creek
creek_depth_1d,5895.4617513476205,0.06883699534070144,Spring/Summer,5,S5,Creek
creek_depth_7d,3774.2451838772613,0.044069100792289165,Spring/Summer,5,S5,Creek
BP_hPa,2250.693153559898,0.026279697954029853,Spring/Summer,5,S5,Climate
month,4143.950310209145,0.04838587717590728,Spring/Summer,5,S5,Time
sun_position,2193.4558319989037,0.025611379609549415,Spring/Summer,5,S5,Time
par,601.3896785434661,0.007021987461860733,Spring/Summer,5,S5,Climate
par_7d,4800.320543652217,0.05604983236838525,Spring/Summer,5,S5,Climate
rain_mm,11.610737296256122,1.355700881244449e-4,Spring/Summer,5,S5,Climate
rain_1d,994.2326105619659,0.011608927081103197,Spring/Summer,5,S5,Climate
rain_7d,2423.6530322607214,0.02829922396682017,Spring/Summer,5,S5,Climate
air_temp,2153.1338675697334,0.025140569519584155,Spring/Summer,5,S5,Climate
atemp_1d,7477.2792178199925,0.08730672106566414,Spring/Summer,5,S5,Climate
d_temp,2993.755794677565,0.03495589699013995,Spring/Summer,5,S5,Climate
d_sal,11093.026825023286,0.12952516156921096,Spring/Summer,5,S5,Climate
d_do,1952.7421989358202,0.022800742557444187,Spring/Summer,5,S5,Climate
fp_depth,30783.34729196117,0.2303534863816802,Fall/Winter,1,F1,FP
fp_sal,4923.598277619253,0.036843557590912464,Fall/Winter,1,F1,FP
fp_temp,8525.006507469641,0.06379309409717653,Fall/Winter,1,F1,FP
fp_depth_1d,16293.58712510356,0.12192581152184849,Fall/Winter,1,F1,FP
fp_depth_7d,4605.585951956206,0.03446385381035709,Fall/Winter,1,F1,FP
creek_sal,4108.50201403127,0.03074414727424411,Fall/Winter,1,F1,Creek
creek_temp,1290.5062299037859,0.009656929327280975,Fall/Winter,1,F1,Creek
creek_depth_1d,19812.1064703357,0.1482550859307841,Fall/Winter,1,F1,Creek
BP_hPa,2871.7310745633968,0.02148932209035748,Fall/Winter,1,F1,Climate
month,931.5493748867091,0.006970835374289059,Fall/Winter,1,F1,Time
sun_position,681.6168866199068,0.005100576773550699,Fall/Winter,1,F1,Time
par,550.5033845882627,0.004119447203129101,Fall/Winter,1,F1,Climate
