predictor,raw_fi,fi,season,window,window_c
par_1d,4106.600155317071,0.02855728129926714,Fall/Winter,1,F1
rain_mm_1d,6715.308862119485,0.046698231367548616,Fall/Winter,1,F1
BP_hPa_1d,3592.0079533846415,0.024978809154622944,Fall/Winter,1,F1
creek_temp,2864.5996680631424,0.021307011815111344,Fall/Winter,2,F2
creek_sal,4757.652203640485,0.03538761553501788,Fall/Winter,2,F2
creek_do,1425.1756396015098,0.010600515852230732,Fall/Winter,2,F2
creek_depth,6239.144556985198,0.046407017453072255,Fall/Winter,2,F2
creek_depth_1d,12545.051532022557,0.09331061655631435,Fall/Winter,2,F2
creek_sal_1d,4074.8723644259267,0.030309070611810224,Fall/Winter,2,F2
creek_temp_1d,5238.096960400918,0.03896118367542206,Fall/Winter,2,F2
creek_do_1d,4532.294325981788,0.03371139424118911,Fall/Winter,2,F2
fp_do,69.50222493886834,5.169604480720591e-4,Fall/Winter,2,F2
fp_depth,34450.6221628517,0.25624516460205005,Fall/Winter,2,F2
fp_depth_1d,9591.937940724387,0.07134523448821553,Fall/Winter,2,F2
fp_sal_1d,12913.229373974058,0.09604913870165377,Fall/Winter,2,F2
fp_temp_1d,16484.30805182256,0.12261097085918408,Fall/Winter,2,F2
fp_do_1d,103.09070271716045,7.667929467812295e-4,Fall/Winter,2,F2
air_temp,1435.4837873981935,0.010677188285501087,Fall/Winter,2,F2
rain_mm,107.76250060224034,8.015419743137618e-4,Fall/Winter,2,F2
par,1093.7174515797308,0.008135116024417943,Fall/Winter,2,F2
BP_hPa,2691.498218228847,0.02001947601108536,Fall/Winter,2,F2
air_temp_1d,2950.9638373722823,0.021949392108730634,Fall/Winter,2,F2
par_1d,3037.384431209517,0.02259219209034339,Fall/Winter,2,F2
rain_mm_1d,5042.9503677525745,0.037509675179629935,Fall/Winter,2,F2
BP_hPa_1d,2794.6509778696714,0.02078673053985323,Fall/Winter,2,F2
creek_temp,2986.355876012551,0.019470754160252565,Fall/Winter,3,F3
creek_sal,4291.473564440897,0.027979996432983833,Fall/Winter,3,F3
creek_do,2063.1713980164213,0.013451679822861643,Fall/Winter,3,F3
creek_depth,5900.402185884419,0.03847005687793974,Fall/Winter,3,F3
creek_depth_1d,19792.726147966972,0.12904667795414748,Fall/Winter,3,F3
creek_sal_1d,7101.938074845099,0.04630395574330578,Fall/Winter,3,F3
creek_temp_1d,5995.58780386032,0.0390906579864972,Fall/Winter,3,F3
creek_do_1d,6547.444086565993,0.042688708071104,Fall/Winter,3,F3
fp_do,80.5738279268247,5.253336375329914e-4,Fall/Winter,3,F3
fp_depth,41903.85709238462,0.2732091330325923,Fall/Winter,3,F3
fp_depth_1d,14475.156997104787,0.0943766366177393,Fall/Winter,3,F3
fp_sal_1d,12101.478090672377,0.07890047759270274,Fall/Winter,3,F3
fp_do_1d,122.37026453087314,7.978423992746173e-4,Fall/Winter,3,F3
air_temp,1552.9044402076722,0.010124788151511363,Fall/Winter,3,F3
rain_mm,164.48752935223135,0.0010724429302514796,Fall/Winter,3,F3
par,924.0586869846832,0.006024774096229958,Fall/Winter,3,F3
BP_hPa,3930.8963442103377,0.025629067507436397,Fall/Winter,3,F3
air_temp_1d,2664.3184908358767,0.01737110126638586,Fall/Winter,3,F3
par_1d,9273.836910980415,0.06046452804448576,Fall/Winter,3,F3
rain_mm_1d,9047.753048309367,0.058990482923130035,Fall/Winter,3,F3
BP_hPa_1d,2455.6963275171956,0.016010904751634976,Fall/Winter,3,F3
creek_temp,2457.3641051108357,0.017982202950134783,Fall/Winter,4,F4
creek_sal,3182.510406162829,0.023288591176013233,Fall/Winter,4,F4
creek_do,1296.6712306989673,0.009488624490581216,Fall/Winter,4,F4
creek_depth,6492.171067171394,0.04750762716606197,Fall/Winter,4,F4
creek_depth_1d,14814.212855916556,0.10840566180955592,Fall/Winter,4,F4
creek_sal_1d,4597.939193289227,0.03364624540341638,Fall/Winter,4,F4
creek_temp_1d,4376.654428434399,0.032026954414703546,Fall/Winter,4,F4
creek_do_1d,3570.4956653928707,0.026127742956013937,Fall/Winter,4,F4
fp_do,0.07332420033139954,5.365629980405757e-7,Fall/Winter,4,F4
fp_depth,37854.40446539782,0.2770063997588057,Fall/Winter,4,F4
fp_depth_1d,12939.723359954454,0.09468874844121077,Fall/Winter,4,F4
fp_sal_1d,8308.643922176812,0.06079999334988597,Fall/Winter,4,F4
fp_temp_1d,13496.59632114391,0.09876376629661306,Fall/Winter,4,F4
