x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
-0.3949919874313823,3.247896138,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,50.89162770483638
-0.35563830142066066,3.24787783,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,53.41201977708363
-0.31136540465859874,3.247771647333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,56.24746085836179
-0.2687322448136504,3.2475482820000003,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,58.97788560329631
-0.22445934805158846,3.2472933208333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,61.81332668457447
-0.1834659251237534,3.2473085935,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,64.43873509316535
-0.13919302836169148,3.2473058120000005,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,67.27417617444351
-0.09590397374989532,3.2473562661666673,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,70.04660745391564
-0.052286971754681194,3.247603207333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,72.84004200065618
-0.0063743380755059715,3.2478160770000004,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,75.78049941827798
0.039538295603669255,3.2482653255000002,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,78.72095683589977
0.08217145544861786,3.249145797666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,81.4513815808343
0.1264443522106798,3.2512370055,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,84.28682266211246
0.17071724897274146,3.254395095333334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,87.1222637433906
0.21499014573480338,3.2587342563333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,89.95770482466877
0.2589350951134414,3.2705327100000003,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,92.77214263867812
0.30189620234181364,3.2794522023333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,95.52357065088144
0.34616909910387555,3.289303606166667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,98.3590117321596
0.3904419958659375,3.2977406190000003,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,101.19445281343775
0.4347148926279994,3.302608426666667,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,104.02989389471591
0.4724288417216076,3.3063620530000004,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,106.44526963061952
0.5134222646494427,3.306280562833334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,109.07067803921042
0.556055424494391,3.3049684110000004,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,111.80110278414493
0.5940973209714233,3.3016719033333337,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,114.23748178731736
0.6298435857644942,3.2962323715000004,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,116.52683791960852
0.6708370086923292,3.2900542868333336,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,119.15224632819941
0.71183043162016435,3.2839694653333336,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,121.77765473679031
0.7544635914651129,3.275725995833334,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,124.50807948172482
0.795457014392948,3.2679362920000004,76.18874151145705,64.04462523689867,creek_depth,Spring/Summer,3,S3,127.13348789031572
